text,target,num_characters,num_words,num_sentance,transformed_text
Tell them u have a headache and just want to use 1 hour of sick time.,0,69,17,1,tell u headach want use 1 hour sick time
"I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den...",0,109,28,2,dun thk quit yet hmmm go jazz yogasana oso go meet em lesson den
Pete can you please ring meive hardly gotany credit,0,51,9,1,pete pleas ring meiv hardli gotani credit
Ya srsly better than yi tho,0,27,6,1,ya srsli better yi tho
"I'm in a meeting, call me later at",0,34,10,1,meet call later
"For ur chance to win a £250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk",1,126,26,2,ur chanc win wkli shop spree txt shop c custcar 08715705022
You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo,1,142,31,6,special select receiv 2000 pound award call 08712402050 line close cost 10ppm cs appli ag promo
PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04,1,148,24,3,privat 2003 account statement 07753741225 show 800 point call 08715203677 identifi code 42478 expir
You still at grand prix?,0,24,6,1,still grand prix
"I met you as a stranger and choose you as my friend. As long as the world stands, our friendship never ends. Lets be Friends forever!!! Gud nitz...",0,147,35,4,met stranger choos friend long world stand friendship never end let friend forev gud nitz
I am great! How are you?,0,24,8,2,great
Gud mrng dear have a nice day,0,29,7,1,gud mrng dear nice day
You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,1,86,15,2,import custom servic announc call freephon 0800 542 0825
Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too,0,87,20,4,exhaust train morn much wine pie sleep well
I'm going out to buy mum's present ar.,0,38,11,1,go buy mum present ar
Mind blastin.. No more Tsunamis will occur from now on.. Rajnikant stopped swimming in Indian Ocean..:-D,0,104,21,1,mind blastin tsunami occur rajnik stop swim indian ocean
If u sending her home first it's ok lor. I'm not ready yet.,0,59,17,2,u send home first ok lor readi yet
Speaking of does he have any cash yet?,0,38,9,1,speak cash yet
Be happy there. I will come after noon,0,38,9,2,happi come noon
Meet after lunch la...,0,22,5,1,meet lunch la
TaKe CaRE n gET WeLL sOOn,0,25,6,1,take care n get well soon
XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867,1,134,22,3,xclusiv clubsaisai 2morow soire special zouk nichol rose 2 ladi info
what I meant to say is cant wait to see u again getting bored of this bridgwater banter,0,87,18,1,meant say cant wait see u get bore bridgwat banter
Neva mind it's ok..,0,19,6,1,neva mind ok
"It's fine, imma get a drink or somethin. Want me to come find you?",0,66,18,2,fine imma get drink somethin want come find
22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222,1,140,32,3,22 day kick euro2004 u kept date latest news result daili remov send get txt stop 83222
Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me,0,156,37,6,valentin game send di msg ur friend 5 answer r someon realli love colour suit best rpli
I have many dependents,0,22,4,1,mani depend
THANX4 TODAY CER IT WAS NICE 2 CATCH UP BUT WE AVE 2 FIND MORE TIME MORE OFTEN OH WELL TAKE CARE C U SOON.C,0,107,25,1,thanx4 today cer nice 2 catch ave 2 find time often oh well take care c u
I called and said all to him:)then he have to choose this future.,0,65,17,1,call said choos futur
Happy valentines day I know its early but i have hundreds of handsomes and beauties to wish. So i thought to finish off aunties and uncles 1st...,0,145,29,2,happi valentin day know earli hundr handsom beauti wish thought finish aunti uncl 1st
He like not v shock leh. Cos telling shuhui is like telling leona also. Like dat almost all know liao. He got ask me abt ur reaction lor.,0,137,32,4,like v shock leh co tell shuhui like tell leona also like dat almost know liao got ask abt ur reaction lor
For my family happiness..,0,25,5,1,famili happi
I come n pick ü up... Come out immediately aft ur lesson...,0,59,14,1,come n pick ü come immedi aft ur lesson
Let there be snow. Let there be snow. This kind of weather brings ppl together so friendships can grow.,0,103,22,3,let snow let snow kind weather bring ppl togeth friendship grow
Dear we got  &lt;#&gt;  dollars hi hi,0,37,13,1,dear got lt gt dollar hi hi
Good words.... But words may leave u in dismay many times.,0,58,13,2,good word word may leav u dismay mani time
MAKE SURE ALEX KNOWS HIS BIRTHDAY IS OVER IN FIFTEEN MINUTES AS FAR AS YOU'RE CONCERNED,0,87,17,1,make sure alex know birthday fifteen minut far concern
"sorry, no, have got few things to do. may be in pub later.",0,58,17,2,sorri got thing may pub later
"Nah it's straight, if you can just bring bud or drinks or something that's actually a little more useful than straight cash",0,123,25,1,nah straight bring bud drink someth actual littl use straight cash
"Haha good to hear, I'm officially paid and on the market for an 8th",0,67,16,1,haha good hear offici paid market 8th
How many licks does it take to get to the center of a tootsie pop?,0,66,16,1,mani lick take get center tootsi pop
Yup i thk they r e teacher said that will make my face look longer. Darren ask me not 2 cut too short.,0,102,25,2,yup thk r e teacher said make face look longer darren ask 2 cut short
New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693,1,130,26,2,new textbuddi chat 2 horni guy ur area 4 25p free 2 receiv search postcod txt one name 89693
Todays Vodafone numbers ending with 4882 are selected to a receive a £350 award. If your number matches call 09064019014 to receive your £350 award.,1,148,27,2,today vodafon number end 4882 select receiv award number match call 09064019014 receiv award
Please dont say like that. Hi hi hi,0,35,9,2,pleas dont say like hi hi hi
Thank u!,0,8,3,1,thank u
Oh that was a forwarded message. I thought you send that to me,0,62,14,2,oh forward messag thought send
Got it. Seventeen pounds for seven hundred ml – hope ok.,0,56,13,2,got seventeen pound seven hundr ml hope ok
"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.",1,143,29,1,dear voucher holder 2 claim week offer pc go http ts cs stop text txt stop 80062
Me n him so funny...,0,20,6,1,n funni
"Sweetheart, hope you are not having that kind of day! Have one with loads of reasons to smile. Biola",0,100,22,3,sweetheart hope kind day one load reason smile biola
When ü login dat time... Dad fetching ü home now?,0,49,12,1,ü login dat time dad fetch ü home
"What will we do in the shower, baby?",0,36,10,1,shower babi
I had askd u a question some hours before. Its answer,0,53,12,2,askd u question hour answer
"Well imma definitely need to restock before thanksgiving, I'll let you know when I'm out",0,88,18,1,well imma definit need restock thanksgiv let know
"said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day!",0,131,34,3,said kiss kiss ca sound effect gorgeou man kind person need smile brighten day
Probably gonna swing by in a wee bit,0,36,9,1,probabl gon na swing wee bit
Ya very nice. . .be ready on thursday,0,37,9,3,ya nice readi thursday
Allo! We have braved the buses and taken on the trains and triumphed. I mean we‘re in b‘ham. Have a jolly good rest of week,0,123,32,4,allo brave buse taken train triumph mean b ham jolli good rest week
"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",0,92,23,1,watch cartoon listen music amp eve go templ amp church u
Do you mind if I ask what happened? You dont have to say if it is uncomfortable.,0,80,19,2,mind ask happen dont say uncomfort
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203694 Identifier Code: 40533 Expires 31/10/04,1,136,23,3,privat 2003 account statement show 800 point call 08715203694 identifi code 40533 expir
No prob. I will send to your email.,0,35,10,2,prob send email
"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm",1,97,27,4,cash prize claim call09050000327 c rstm sw7 3ss 150ppm
Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :),0,66,14,3,that cool sometim slow gentl sonetim rough hard
I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are you seeing on Tuesday?,0,119,30,5,gon na say sorri would normal start panic time sorri see tuesday
"Wait, do you know if wesleys in town? I bet she does hella drugs!",0,65,17,2,wait know wesley town bet hella drug
Fine i miss you very much.,0,26,7,1,fine miss much
Tell them the drug dealer's getting impatient,0,45,8,1,tell drug dealer get impati
"Sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. I cant come to meet U, but can send my care as msg to U. Gud evng",0,157,40,3,sun cant come earth send luv ray cloud cant come river send luv rain cant come meet u send care msg gud evng
"It doesnt make sense to take it there unless its free. If you need to know more, wikipedia.com",0,94,20,2,doesnt make sens take unless free need know
88800 and 89034 are premium phone services call 08718711108,1,59,9,1,88800 89034 premium phone servic call 08718711108
"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '",0,140,37,4,sea lay rock rock envelop envelop paper paper 3 word
Then mum's repent how?,0,22,6,1,mum repent
Sorry me going home first... Daddy come fetch ü later...,0,56,12,1,sorri go home first daddi come fetch ü later
Leave it de:-). Start Prepare for next:-)..,0,43,15,2,leav de start prepar next
Yes baby! We can study all the positions of the kama sutra ;),0,61,15,2,ye babi studi posit kama sutra
En chikku nange bakra msg kalstiya..then had tea/coffee?,0,56,11,1,en chikku nang bakra msg kalstiya
Carlos'll be here in a minute if you still need to buy,0,54,13,1,carlo minut still need buy
This pay is  &lt;DECIMAL&gt;  lakhs:),0,37,13,1,pay lt decim gt lakh
Have a good evening! Ttyl,0,25,6,2,good even ttyl
Did u receive my msg?,0,21,6,1,u receiv msg
Ho ho - big belly laugh! See ya tomo,0,36,10,2,ho ho big belli laugh see ya tomo
"SMS. ac sun0819 posts HELLO:""You seem cool, wanted to say hi. HI!!!"" Stop? Send STOP to 62468",1,93,28,5,sm ac sun0819 post hello seem cool want say hi hi stop send stop 62468
Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just £1.50 per wk 2 opt out send STOP 08452810071 16,1,153,34,3,get ur 1st rington free repli msg tone gr8 top 20 tone phone everi week per wk 2 opt send stop 08452810071 16
"Ditto. And you won't have to worry about me saying ANYTHING to you anymore. Like i said last night, you do whatever you want and i'll do the same. Peace.",0,153,37,4,ditto wo worri say anyth anymor like said last night whatev want peac
"I've got  &lt;#&gt; , any way I could pick up?",0,46,18,1,got lt gt way could pick
"I dont knw pa, i just drink milk..",0,34,10,1,dont knw pa drink milk
Maybe?! Say hi to  and find out if  got his card. Great escape or wetherspoons?,0,79,19,3,mayb say hi find got card great escap wetherspoon
"Piggy, r u awake? I bet u're still sleeping. I'm going 4 lunch now...",0,69,20,3,piggi r u awak bet u still sleep go 4 lunch
Cause I'm not freaky lol,0,24,6,1,caus freaki lol
Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today.,0,108,28,4,miss call caus yell scrappi miss ca wait u come home lone today
What is this 'hex' place you talk of? Explain!,0,46,12,2,place talk explain
Ü log off 4 wat. It's sdryb8i,0,29,9,2,ü log 4 wat sdryb8i
Is xy going 4 e lunch?,0,22,7,1,xy go 4 e lunch
Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+,1,158,42,6,hi sue 20 year old work lapdanc love sex text live bedroom text sue textoper g2 1da 150ppmsg
I wanted to ask ü to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.,0,86,22,2,want ask ü wait 4 finish lect co lect finish hour anyway
Have you finished work yet? :),0,30,8,2,finish work yet
"Every King Was Once A Crying Baby And Every Great Building Was Once A Map.. Not Imprtant Where U r TODAY, BUT Where U Wil Reach TOMORW. Gud ni8",0,143,32,2,everi king cri babi everi great build map imprtant u r today u wil reach tomorw gud ni8
"Dear,Me at cherthala.in case u r coming cochin pls call bfore u start.i shall also reach accordingly.or tell me which day u r coming.tmorow i am engaged ans its holiday.",0,169,33,1,dear case u r come cochin pl call bfore u shall also reach tell day u r engag an holiday
Thanks love. But am i doing torch or bold.,0,42,11,2,thank love torch bold
<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,1,111,19,1,forward 448712404000 pleas call 08712404000 immedi urgent messag wait
Was the farm open?,0,18,5,1,farm open
"Sorry to trouble u again. Can buy 4d for my dad again? 1405, 1680, 1843. All 2 big 1 small, sat n sun. Thanx.",0,109,32,5,sorri troubl u buy 4d dad 1405 1680 2 big 1 small sat n sun thanx
"My sister in law, hope you are having a great month. Just saying hey. Abiola",0,76,18,3,sister law hope great month say hey abiola
Will purchase d stuff today and mail to you. Do you have a po box number?,0,73,18,2,purchas stuff today mail po box number
Ah poop. Looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem,0,92,22,2,ah poop look like ill prob send laptop get fix cuz gpu problem
Good. Good job. I like entrepreneurs,0,36,8,3,good good job like entrepreneur
"Aight, you close by or still down around alex's place?",0,54,13,1,aight close still around alex place
meet you in corporation st outside gap … you can see how my mind is working!,0,76,17,1,meet corpor st outsid gap see mind work
Mum ask ü to buy food home...,0,29,8,1,mum ask ü buy food home
K..u also dont msg or reply to his msg..,0,40,12,1,k u also dont msg repli msg
How much r ü willing to pay?,0,28,8,1,much r ü will pay
What is important is that you prevent dehydration by giving her enough fluids,0,77,13,1,import prevent dehydr give enough fluid
"Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!",0,109,28,2,that bit weird even suppos happen good idea sure pub
True dear..i sat to pray evening and felt so.so i sms'd you in some time...,0,75,19,1,true dear sat pray even felt sm time
"I don't think I can get away for a trek that long with family in town, sorry",0,76,19,1,think get away trek long famili town sorri
So when do you wanna gym harri,0,30,8,1,wan na gym harri
Quite late lar... Ard 12 anyway i wun b drivin...,0,49,12,1,quit late lar ard 12 anyway wun b drivin
"To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT",1,155,26,2,review keep fantast nokia game deck club nokia go 2 unsubscrib alert repli word
4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs,1,160,31,4,4mth half price orang line rental latest camera phone 4 free phone call mobilesdirect free 08000938767 updat or2stoptxt cs
"Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:""if it is made by my students,this wont even start........ Datz confidence..",0,316,71,4,height confid aeronaut professor wer calld amp wer askd 2 sit aeroplan aftr sat wer told dat plane ws made student dey hurri plane bt 1 didnt move said made student wont even start datz confid
It just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke,0,195,40,1,seem like weird time night g want come smoke day shitstorm attribut alway come make everyon smoke
08714712388 between 10am-7pm Cost 10p,1,37,5,1,08714712388 cost 10p
"Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you.",0,125,27,2,save stress person dorm account send account detail money sent
He also knows about lunch menu only da. . I know,0,48,12,3,also know lunch menu da know
When i have stuff to sell i.ll tell you,0,39,9,1,stuff sell tell
Book which lesson? then you msg me... I will call up after work or sth... I'm going to get specs. My membership is PX3748,0,121,29,5,book lesson msg call work sth go get spec membership px3748
You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm,1,145,25,2,guarante cash prize claim yr prize call custom servic repres 08714712394
Macha dont feel upset.i can assume your mindset.believe me one evening with me and i have some wonderful plans for both of us.LET LIFE BEGIN AGAIN.call me anytime,0,162,28,1,macha dont feel assum one even wonder plan life begin anytim
Oh is it? Send me the address,0,29,8,2,oh send address
S'fine. Anytime. All the best with it.,0,38,10,3,anytim best
That is wondar full flim.,0,25,6,1,wondar full flim
Ya even those cookies have jelly on them,0,40,8,1,ya even cooki jelli
"The world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run.",0,226,51,1,world run feel admit correct let call keep run world may u r also run
Got it! It looks scrumptious... daddy wants to eat you all night long!,0,70,16,2,got look scrumptiou daddi want eat night long
Of cos can lar i'm not so ba dao ok... 1 pm lor... Y u never ask where we go ah... I said u would ask on fri but he said u will ask today...,0,140,40,2,co lar ba dao ok 1 pm lor u never ask go ah said u would ask fri said u ask today
"Alright omw, gotta change my order to a half8th",0,47,11,1,alright omw got ta chang order half8th
Exactly. Anyways how far. Is jide her to study or just visiting,0,63,14,3,exactli anyway far jide studi visit
Dunno y u ask me.,0,17,6,1,dunno u ask
Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123,1,101,16,1,email alertfrom jeri stewarts 2kbsubject prescripiton drvgsto listen email call 123
No he didn't. Spring is coming early yay!,0,41,11,2,spring come earli yay
Lol you won't feel bad when I use her money to take you out to a steak dinner =D,0,80,20,1,lol wo feel bad use money take steak dinner
Even u dont get in trouble while convincing..just tel him once or twice and just tel neglect his msgs dont c and read it..just dont reply,0,137,30,1,even u dont get troubl convinc tel twice tel neglect msg dont c read dont repli
Leaving to qatar tonite in search of an opportunity.all went fast.pls add me in ur prayers dear.Rakhesh,0,103,17,1,leav qatar tonit search went add ur prayer
Then why no one talking to me,0,29,7,1,one talk
Thanks for looking out for me. I really appreciate.,0,51,11,2,thank look realli appreci
Hi. Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY £10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,1,148,34,4,hi custom loyalti offer new nokia6650 mobil txtauction txt word start 81151 get 4t ctxt tc
Wish i were with you now!,0,25,7,1,wish
Haha mayb u're rite... U know me well. Da feeling of being liked by someone is gd lor. U faster go find one then all gals in our group attached liao.,0,149,36,3,haha mayb u rite u know well da feel like someon gd lor u faster go find one gal group attach liao
Yes i will be there. Glad you made it.,0,38,11,2,ye glad made
Do well :)all will for little time. Thing of good times ahead:,0,62,16,2,well littl time thing good time ahead
Just got up. have to be out of the room very soon. …. i hadn't put the clocks back til at 8 i shouted at everyone to get up and then realised it was 7. wahay. another hour in bed.,0,179,46,5,got room soon put clock back til 8 shout everyon get realis wahay anoth hour bed
Ok. There may be a free gym about.,0,34,10,2,may free gym
Men like shorter ladies. Gaze up into his eyes.,0,47,11,2,men like shorter ladi gaze eye
Dunno he jus say go lido. Same time 930.,0,40,11,2,dunno ju say go lido time 930
"I promise to take good care of you, princess. I have to run now. Please send pics when you get a chance. Ttyl!",0,110,28,4,promis take good care princess run pleas send pic get chanc ttyl
U are subscribed to the best Mobile Content Service in the UK for £3 per 10 days until you send STOP to 82324. Helpline 08706091795,1,131,26,2,u subscrib best mobil content servic uk per 10 day send stop helplin 08706091795
Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam,0,101,23,2,reason spoken year anyway great week best exam
By monday next week. Give me the full gist,0,42,10,2,monday next week give full gist
"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",1,102,21,1,realiz 40 year thousand old ladi run around tattoo
You have an important customer service announcement from PREMIER.,1,65,10,1,import custom servic announc premier
Dont gimme that lip caveboy,0,27,6,1,dont gim lip caveboy
When did you get to the library,0,31,7,1,get librari
Realy sorry-i don't recognise this number and am now confused :) who r u please?!,0,81,19,2,reali recognis number confus r u pleas
So why didnt you holla?,0,23,6,1,didnt holla
Cant think of anyone with * spare room off * top of my head,0,59,14,1,cant think anyon spare room top head
"Faith makes things possible,Hope makes things work,Love makes things beautiful,May you have all three this Christmas!Merry Christmas!",0,133,26,1,faith make thing possibl hope make thing work love make thing beauti may three christma merri christma
U should have made an appointment,0,33,6,1,u made appoint
"Call me when you/carlos is/are here, my phone's vibrate is acting up and I might not hear texts",0,95,20,1,call phone vibrat act might hear text
"Romantic Paris. 2 nights, 2 flights from £79 Book now 4 next year. Call 08704439680Ts&Cs apply.",1,95,22,3,romant pari 2 night 2 flight book 4 next year call 08704439680t cs appli
"We are at grandmas. Oh dear, u still ill? I felt Shit this morning but i think i am just hungover! Another night then. We leave on sat.",0,135,34,5,grandma oh dear u still ill felt shit morn think hungov anoth night leav sat
Urgent Ur £500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 £1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF,1,159,16,2,urgent ur guarante award still unclaim call 09066368327 claimcod m39m51
Nothing but we jus tot u would ask cos u ba gua... But we went mt faber yest... Yest jus went out already mah so today not going out... Jus call lor...,0,151,36,2,noth ju tot u would ask co u ba gua went mt faber yest yest ju went alreadi mah today go ju call lor
"Wishing you and your family Merry ""X"" mas and HAPPY NEW Year in advance..",0,73,17,1,wish famili merri x ma happi new year advanc
UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 £1.50perWKsub,1,149,27,4,ur award citi break could win summer shop spree everi wk txt store 88039 skilgm tscs087147403231winawk age16
"I'm nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time...",0,103,26,1,nt goin got somethin unless meetin 4 dinner lor haha wonder go ti time
Lol I know! They're so dramatic. Schools already closed for tomorrow. Apparently we can't drive in the inch of snow were supposed to get.,0,137,30,4,lol know dramat school alreadi close tomorrow appar ca drive inch snow suppos get
Not getting anywhere with this damn job hunting over here!,0,58,11,1,get anywher damn job hunt
Lol! U drunkard! Just doing my hair at d moment. Yeah still up 4 tonight. Wats the plan?,0,88,23,5,lol u drunkard hair moment yeah still 4 tonight wat plan
"idc get over here, you are not weaseling your way out of this shit twice in a row",0,81,19,1,idc get weasel way shit twice row
I wil be there with in  &lt;#&gt;  minutes. Got any space,0,57,18,2,wil lt gt minut got space
Thanks for picking up the trash.,0,32,7,1,thank pick trash
Why don't you go tell your friend you're not sure you want to live with him because he smokes too much then spend hours begging him to come smoke,0,145,31,1,go tell friend sure want live smoke much spend hour beg come smoke
Hi its Kate it was lovely to see you tonight and ill phone you tomorrow. I got to sing and a guy gave me his card! xxx,0,118,29,3,hi kate love see tonight ill phone tomorrow got sing guy gave card xxx
Happy New year my dear brother. I really do miss you. Just got your number and decided to send you this text wishing you only happiness. Abiola,0,143,30,4,happi new year dear brother realli miss got number decid send text wish happi abiola
That means get the door,0,23,5,1,mean get door
"Hmmm ... I thought we said 2 hours slave, not 3 ... You are late ... How should I punish you ?",0,94,23,2,hmmm thought said 2 hour slave 3 late punish
Beerage?,0,8,2,1,beerag
You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!,1,99,17,2,import custom servic announc premier call freephon 0800 542 0578
Dont think so. It turns off like randomlly within 5min of opening,0,65,13,2,dont think turn like randomlli within 5min open
"She was supposed to be but couldn't make it, she's still in town though",0,71,17,1,suppos could make still town though
It does it on its own. Most of the time it fixes my spelling. But sometimes it gets a completely diff word. Go figure,0,117,27,4,time fix spell sometim get complet diff word go figur
Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS),1,129,27,3,ever thought live good life perfect partner txt back name age join mobil commun
"5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, £3 per pole. UnSub 08718727870.",1,157,32,3,5 free top polyphon tone call 087018728737 nation rate get toppoli tune sent everi week text subpoli 81618 per pole unsub 08718727870
This is hoping you enjoyed your game yesterday. Sorry i've not been in touch but pls know that you are fondly bein thot off. Have a great week. Abiola,0,150,33,4,hope enjoy game yesterday sorri touch pl know fondli bein thot great week abiola
All e best 4 ur driving tmr :-),0,31,10,1,e best 4 ur drive tmr
Y?WHERE U AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THATS AL!!!!!!!!!,0,71,24,3,u dogbreath sound like jan c al
Omg I want to scream. I weighed myself and I lost more weight! Woohoo!,0,70,17,3,omg want scream weigh lost weight woohoo
There generally isn't one. It's an uncountable noun - u in the dictionary. pieces of research?,0,94,21,3,gener one uncount noun u dictionari piec research
it's really getting me down just hanging around.,0,48,10,1,realli get hang around
"Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa",1,160,35,5,orang custom may claim free camera phone upgrad loyalti call 0207 153 offer end 14thmarch c appli availa
Petey boy whereare you me and all your friendsare in theKingshead come down if you canlove Nic,0,94,17,1,petey boy wherear friendsar thekingshead come canlov nic
Ok i msg u b4 i leave my house.,0,31,10,1,ok msg u b4 leav hous
Gimme a few was  &lt;#&gt;  minutes ago,0,39,14,1,gim lt gt minut ago
"Last Chance! Claim ur £150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Sub. 16",1,152,34,7,last chanc claim ur worth discount voucher today text shop 85023 savamob offer mobil cs savamob pobox84 m263uz sub 16
Appt is at &lt;TIME&gt; am. Not my fault u don't listen. I told u twice,0,71,24,3,appt lt time gt fault u listen told u twice
FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,1,162,31,3,free 1st week no1 nokia tone 4 ur mobil everi week txt nokia 8077 get txting tell ur mate pobox 36504 w45wq
You have won a guaranteed £200 award or even £1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX,1,141,30,2,guarante award even cashto claim ur award call free 08000407165 2 stop getstop 88222 php rg21 4jx
K I'll be there before 4.,0,25,8,1,k 4
I dled 3d its very imp,0,22,6,1,dled 3d imp
"sure, but make sure he knows we ain't smokin yet",0,48,12,1,sure make sure know ai smokin yet
Boooo you always work. Just quit.,0,33,8,2,boooo alway work quit
I am taking half day leave bec i am not well,0,44,11,1,take half day leav bec well
Ugh I don't wanna get out of bed. It's so warm.,0,47,16,2,ugh wan na get bed warm
S:)s.nervous  &lt;#&gt; :),0,26,13,1,lt gt
So there's a ring that comes with the guys costumes. It's there so they can gift their future yowifes. Hint hint,0,112,25,3,ring come guy costum gift futur yowif hint hint
Congratulations ur awarded either £500 of CD gift vouchers & Free entry 2 our £100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,1,148,23,1,congratul ur award either cd gift voucher free entri 2 weekli draw txt music 87066 tnc
I borrow ur bag ok.,0,19,6,1,borrow ur bag ok
"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT",1,133,27,3,u outbid simonwatson5120 shinco dvd plyr 2 bid visit sm 2 end bid notif repli end
Where's my boytoy? I miss you ... What happened?,0,48,12,2,boytoy miss happen
"He has lots of used ones babe, but the model doesn't help. Youi have to bring it over and he'll match it up",0,107,27,2,lot use one babe model help youi bring match
Also are you bringing galileo or dobby,0,38,7,1,also bring galileo dobbi
Then why you not responding,0,27,5,1,respond
BOO BABE! U ENJOYIN YOURJOB? U SEEMED 2 B GETTIN ON WELL HUNNY!HOPE URE OK?TAKE CARE & ILLSPEAK 2U SOONLOTS OF LOVEME XXXX.,0,124,30,3,boo babe u enjoyin yourjob u seem 2 b gettin well hunni hope ure ok take care 2u soonlot lovem xxxx
Good afternoon starshine! How's my boytoy? Does he crave me yet? Ache to fuck me ? *sips cappuccino* I miss you babe *teasing kiss*,0,131,32,5,good afternoon starshin boytoy crave yet ach fuck sip cappuccino miss babe teas kiss
On the road so cant txt,0,23,6,1,road cant txt
"SMSSERVICES. for yourinclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE",1,156,25,4,smsservic yourinclus text credit pl goto 3qxj9 unsubscrib stop extra charg help 9ae
